youtube_name,time_code,strongPositive,positive,neutral,negative,strongNegative
Zoe,T0,2451,3365,11921,1778,252
Zoe,T1,2472,3291,16502,1948,180
Zoe,T2,2472,3291,16502,1948,180
Zoe,T3,257,518,2149,204,39
Tess,T0,997,1740,4699,580,82
Tess,T1,364,651,1607,242,22
Tess,T2,538,797,2227,263,32
Tess,T3,405,642,2070,237,40
Nicole,T0,1449,2500,8607,1527,129
Nicole,T1,640,1209,4116,677,46
Nicole,T2,755,1272,5825,884,52
Nicole,T3,213,457,2060,210,28
Vlogger,T0,4897,7605,25227,3885,463
Vlogger,T1,3476,5151,22225,2867,248
Vlogger,T2,3765,5360,24554,3095,264
Vlogger,T3,875,1617,6279,651,107
