youtube_name,time_code,strongPositive,positive,neutral,negative,strongNegative
Marques,T0,115,322,1364,100,10
Marques,T1,141,415,996,142,9
Marques,T2,213,419,1489,167,20
Marques,T3,110,276,911,96,7
Linus,T0,973,2074,11600,953,137
Linus,T1,143,329,1670,175,22
Linus,T2,152,320,1648,179,26
Linus,T3,424,902,4107,483,57
TechYoutuber,T0,1088,2396,12964,1053,147
TechYoutuber,T1,284,744,2666,317,31
TechYoutuber,T2,365,739,3137,346,46
TechYoutuber,T3,534,1178,5018,579,64
