youtube_name,time_code,strongPositive,positive,neutral,negative,strongNegative
Eva,T0,576,1165,3506,429,38
Eva,T1,373,878,2753,352,18
Eva,T2,420,916,3885,441,54
Eva,T3,393,694,3315,340,44
Kristine,T0,937,1113,6144,474,85
Kristine,T1,273,518,2058,228,14
Kristine,T2,200,357,1463,124,16
Kristine,T3,248,373,1714,125,7
Louis,T0,276,492,1650,160,36
Louis,T1,170,282,1329,131,25
Louis,T2,129,282,1337,122,12
Louis,T3,171,349,1648,149,17
TravelYoutuber,T0,1789,2770,11300,1063,159
TravelYoutuber,T1,816,1678,6140,711,57
TravelYoutuber,T2,749,1555,6685,687,82
TravelYoutuber,T3,812,1416,6677,614,68
