youtube_name,time_code,strongPositive,positive,neutral,negative,strongNegative
HealthNut,T0,1639,2309,8518,988,151
HealthNut,T1,1792,2514,9770,1114,141
HealthNut,T2,1689,2543,10601,1140,148
HealthNut,T3,2108,2953,13605,1528,164
Popsugar,T0,1176,2593,8096,978,28
Popsugar,T1,1023,2534,7137,889,42
Popsugar,T2,1544,3202,13558,1254,37
Popsugar,T3,1458,2765,12916,1163,39
Yoga,T0,2278,3694,22206,2348,51
Yoga,T1,1550,3004,15669,1564,13
Yoga,T2,594,850,4776,502,6
Yoga,T3,1872,3136,20141,1937,23
HealthYoutuber,T0,5093,8596,38820,4314,230
HealthYoutuber,T1,4365,8052,32576,3567,196
HealthYoutuber,T2,3827,6595,28935,2896,191
HealthYoutuber,T3,5438,8854,46662,4628,226
