youtube_name,time_code,strongPositive,positive,neutral,negative,strongNegative
HealthNut,T0,1153,1865,1488,391,47
HealthNut,T1,1262,1435,1222,239,23
HealthNut,T2,1220,1522,1111,225,20
HealthNut,T3,1398,2323,1376,410,54
Popsugar,T0,7209,9098,7938,1340,248
Popsugar,T1,3955,4035,2686,634,74
Popsugar,T2,1315,1285,995,174,24
Popsugar,T3,1011,876,666,114,16
Yoga,T0,20709,36128,15528,4615,203
Yoga,T1,11961,27497,11658,3974,172
Yoga,T2,3722,6801,3896,799,53
Yoga,T3,17597,37996,17452,5212,226
HealthYoutuber,T0,29071,47091,24954,6346,498
HealthYoutuber,T1,17178,32967,15566,4847,269
HealthYoutuber,T2,6257,9608,6002,1198,97
HealthYoutuber,T3,20006,41195,19494,5736,296
