youtube_name,time_code,fear,sadness,anger,surprise,anticipation,joy,trust
Ben,T0,1336,1151,1356,817,1299,1233,1955
Ben,T1,9235,7448,8632,4195,8859,7334,13733
Ben,T2,7265,6397,7067,4891,7656,5828,11094
Ben,T3,10686,8740,10031,5575,10560,8727,13035
Conservative,T0,13875,11075,13068,5749,8159,7394,11781
Conservative,T1,29445,23263,22501,10360,23179,21020,35829
Conservative,T2,18393,17428,18324,12701,19614,18098,26283
Conservative,T3,39989,27984,34071,20710,26747,22233,42510
David,T0,3498,2901,3153,2649,3096,2346,4614
David,T1,3717,3685,3628,4045,3950,3449,5667
David,T2,6246,6032,5752,6846,6690,4903,8892
David,T3,3055,2568,3360,2542,3303,2645,4693
PoliticsYoutuber,T0,18709,15127,17577,9215,12554,10973,18350
PoliticsYoutuber,T1,42397,34396,34761,18600,35988,31803,55229
PoliticsYoutuber,T2,31904,29857,31143,24438,33960,28829,46269
PoliticsYoutuber,T3,53730,39292,47462,28827,40610,33605,60238
