youtube_name,time_code,fear,sadness,anger,surprise,anticipation,joy,trust
Ben,T0,1132,865,1044,793,1311,1010,2155
Ben,T1,615,458,542,324,828,543,1078
Ben,T2,1017,818,765,469,973,682,1651
Ben,T3,730,518,673,363,673,470,1155
Conservative,T0,147,91,141,58,97,84,165
Conservative,T1,216,158,130,53,152,103,245
Conservative,T2,151,177,160,100,197,155,244
Conservative,T3,406,299,355,182,274,190,427
David,T0,140,124,117,148,121,59,181
David,T1,96,91,97,130,105,72,189
David,T2,177,212,182,296,269,122,325
David,T3,457,318,312,325,795,470,1200
PoliticsYoutuber,T0,1419,1080,1302,999,1529,1153,2501
PoliticsYoutuber,T1,927,707,769,507,1085,718,1512
PoliticsYoutuber,T2,1345,1207,1107,865,1439,959,2220
PoliticsYoutuber,T3,1593,1135,1340,870,1742,1130,2782
