youtube_name,time_code,fear,sadness,anger,surprise,anticipation,joy,trust
Marques,T0,5606,5912,6583,6575,12468,9599,12257
Marques,T1,7247,7468,7372,7304,13715,10135,13828
Marques,T2,8682,7378,8328,9608,19269,13993,19251
Marques,T3,10675,11007,11968,10314,21052,16292,19179
Linus,T0,7610,6365,7093,5781,12303,9995,11926
Linus,T1,3640,3816,3176,2890,6467,4381,6994
Linus,T2,6075,6020,7078,5937,10041,6465,9491
Linus,T3,9214,6514,5832,4152,11313,7807,10201
TechYoutuber,T0,13216,12277,13676,12356,24771,19594,24183
TechYoutuber,T1,10887,11284,10548,10194,20182,14516,20822
TechYoutuber,T2,14757,13398,15406,15545,29310,20458,28742
TechYoutuber,T3,19889,17521,17800,14466,32365,24099,29380
