youtube_name,time_code,fear,sadness,anger,surprise,anticipation,joy,trust
Marques,T0,79,115,63,112,251,232,226
Marques,T1,94,86,101,162,310,230,322
Marques,T2,144,108,123,185,361,280,421
Marques,T3,53,73,69,82,179,129,175
Linus,T0,1292,973,855,841,2030,1470,2116
Linus,T1,163,132,93,107,258,157,284
Linus,T2,136,148,109,143,298,175,292
Linus,T3,391,340,315,381,813,628,923
TechYoutuber,T0,1371,1088,918,953,2281,1702,2342
TechYoutuber,T1,257,218,194,269,568,387,606
TechYoutuber,T2,280,256,232,328,659,455,713
TechYoutuber,T3,444,413,384,463,992,757,1098
