youtube_name,time_code,strongPositive,positive,neutral,negative,strongNegative
Ben,T0,590,1574,5757,731,183
Ben,T1,308,944,3173,394,79
Ben,T2,419,1150,5134,597,91
Ben,T3,307,685,3758,342,84
Conservative,T0,37,93,382,46,21
Conservative,T1,21,99,605,136,15
Conservative,T2,65,149,862,97,25
Conservative,T3,89,252,1968,256,68
David,T0,45,127,578,87,18
David,T1,44,112,552,52,17
David,T2,78,176,921,137,21
David,T3,323,740,4455,273,49
PoliticsYoutuber,T0,672,1794,6717,864,222
PoliticsYoutuber,T1,373,1155,4330,582,111
PoliticsYoutuber,T2,562,1475,6917,831,137
PoliticsYoutuber,T3,719,1677,10181,871,201
